Sample Count,55

Sample No.,1
Date & Time,'2021-12-30 13:24:58
Data Type,OPC
Voc (V),39.28
Isc (A),8.918
Pmax (W),228.7857
Vpm (V),29.56
Ipm (A),7.738
EFF (%),11.768
FF,0.652
Tc (degC),15.9
Irr (W/m2),66
Nms,1
Rs (Ohm),0.9216
V (V),I (A),P (W)
27.53,7.765,213.8603
27.79,7.754,215.5662
28.05,7.742,217.2403
28.31,7.724,218.7563
28.57,7.699,220.0453
28.83,7.667,221.1021
29.09,7.627,221.9285
29.35,7.579,222.5143
29.61,7.524,222.8680
29.87,7.452,222.6659
30.13,7.372,222.1895
30.39,7.296,221.7992
30.65,7.206,220.9150
30.91,7.136,220.6223
31.17,7.002,218.3069
31.43,6.857,215.5621
31.69,6.714,212.8322
31.95,6.564,209.7795
32.21,6.445,207.6336
32.47,6.278,203.9048
32.73,6.132,200.7430
32.99,5.944,196.1513
33.25,5.724,190.3668
33.51,5.551,186.0559
33.77,5.338,180.3071
34.03,5.147,175.2010
34.29,4.958,170.0428
34.55,4.727,163.3677
34.81,4.536,157.9197
35.07,4.284,150.2709
35.33,4.019,142.0196
35.59,3.755,133.6521
35.85,3.485,124.9590
36.11,3.194,115.3649
36.37,2.940,106.9648
36.63,2.664,97.6200
36.89,2.398,88.4769
37.15,2.107,78.2979
37.41,1.813,67.8293
37.67,1.507,56.7717
37.93,1.204,45.6977
38.19,0.904,34.5312
38.45,0.596,22.9364
38.71,0.330,12.7793

Sample No.,7
Date & Time,'2021-12-30 13:31:56
Data Type,OPC
Voc (V),38.99
Isc (A),8.912
Pmax (W),226.0619
Vpm (V),29.62
Ipm (A),7.631
EFF (%),11.628
FF,0.650
Tc (degC),14.3
Irr (W/m2),96
Nms,1
Rs (Ohm),0.8514
V (V),I (A),P (W)
0.25,8.888,2.3107
0.51,8.865,4.6094
0.77,8.842,6.8958
1.03,8.818,9.1702
1.29,8.795,11.4323
1.55,8.771,13.6824
1.81,8.748,15.9203
2.07,8.725,18.1459
2.33,8.701,20.3594
2.59,8.678,22.5610
2.85,8.655,24.7502
3.11,8.631,26.9273
3.37,8.608,29.0922
3.63,8.584,31.2450
3.89,8.561,33.3855
4.15,8.538,35.5141
4.41,8.233,36.3866
4.67,8.213,38.4357
4.93,8.200,40.5074
5.19,8.190,42.5869
5.45,8.182,44.6688
5.71,8.176,46.7641
5.97,8.171,48.8565
6.23,8.165,50.9459
6.49,8.159,53.0325
6.75,8.156,55.1289
7.01,8.152,57.2236
7.27,8.148,59.3164
7.53,8.145,61.4073
7.79,8.141,63.4963
8.05,8.137,65.5834
8.31,8.134,67.6712
8.57,8.132,69.7669
8.83,8.130,71.8613
9.09,8.127,73.9546
9.35,8.125,76.0468
9.61,8.123,78.1378
9.87,8.121,80.2276
10.13,8.119,82.3163
10.39,8.116,84.4038
10.65,8.114,86.4902
